/home/first/Desktop/yolov8/hornet_model2_ncnn_model/transfer_process.py:141: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self._client = mqtt.Client(client_id=f"{self._cfg.client_id}-transfer")
2026-03-23 18:50:59,008 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:01,009 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:03,010 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:05,011 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:07,012 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:09,016 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:11,017 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:13,018 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:15,019 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:17,022 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:19,023 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:21,028 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:23,032 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:25,033 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:27,034 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:29,041 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:31,043 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:33,048 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:35,053 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:37,054 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:39,055 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:41,060 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:43,065 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:45,067 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:47,068 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:49,073 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:51,077 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:53,080 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:55,081 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
2026-03-23 18:51:57,082 WARNING transfer iot-ingest IotIngestUploader: 上传失败: <urlopen error [Errno 111] Connection refused>
